Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,In stock?,Stock,Regular price,Sale price,Categories,Images,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global
simple,KEPI-001,Кепі Cotton,1,1,visible,"Кепі з котону","Матеріал: котон. Розмір: 58-59 см. Базова модель для щоденного носіння.",,,taxable,1,12,890,,"Головні убори > Кепі","https://example.com/images/kepi-cotton-1.jpg, https://example.com/images/kepi-cotton-2.jpg",Колір,"чорний, зелений, бордовий, бежевий",1,1,,,, 
simple,KHUSTKY-001,Хустка Urban,1,0,visible,"Хустка з напиленням","Аксесуар для міжсезоння. М'яка тканина, декілька базових кольорів.",,,taxable,1,8,690,,"Аксесуари > Хустки","https://example.com/images/khustka-urban-1.jpg",Колір,"сірий, шоколад, молочний",1,1,,,, 
simple,SUMKY-001,Сумка Muse Mini,1,1,visible,"Преміальна сумка","Компактна сумка для щоденного носіння. Жорстке дно, магнітна застібка.",,,taxable,1,6,4890,,"Сумки","https://example.com/images/muse-mini-1.jpg, https://example.com/images/muse-mini-2.jpg",Колір,"chocolate, ivory, black",1,1,,,, 
simple,PANAMA-001,Панама Пустишка,1,1,visible,"Панама з котону та деніму","Панама Пустишка з котону та деніму. Розмір 55-59 см, регулюється. Висота тульї 17 см, ширина полів 8 см. Базова модель на щодень.",,,taxable,1,,"890",,"Головні убори > Панами","/Users/ihnatovvladgmail.com/Downloads/IMG_9841.JPG, /Users/ihnatovvladgmail.com/Downloads/IMG_9842.JPG, /Users/ihnatovvladgmail.com/Downloads/IMG_9843.JPG, /Users/ihnatovvladgmail.com/Downloads/IMG_9844.JPG, /Users/ihnatovvladgmail.com/Downloads/IMG_9845.JPG, /Users/ihnatovvladgmail.com/Downloads/IMG_9846.JPG, /Users/ihnatovvladgmail.com/Downloads/IMG_9848.JPG",Колір,"білий, бежевий, молочний, леопард, графіт, рожевий",1,1,Розмір,"55-59 см",1,1
simple,PANAMA-002,Панама Лезо,1,1,visible,"Джинсова панама з рваним краєм","Панама Лезо з деніму. Не регулюється. Сучасна форма з вираженим рваним краєм. Кольори: чорний, синій, блакитний.",,,taxable,1,,"950",,"Головні убори > Панами","/Users/ihnatovvladgmail.com/Downloads/IMG_9571.JPG, /Users/ihnatovvladgmail.com/Downloads/IMG_9572.JPG, /Users/ihnatovvladgmail.com/Downloads/IMG_9573.JPG, /Users/ihnatovvladgmail.com/Downloads/IMG_9574.JPG, /Users/ihnatovvladgmail.com/Downloads/IMG_9575.JPG, /Users/ihnatovvladgmail.com/Downloads/IMG_9576.JPG",Колір,"чорний, синій, блакитний",1,1,Посадка,"не регулюється",1,1
simple,PANAMA-003,Панама Жак Мюс,1,1,visible,"Панама з котону та деніму","Панама Жак Мюс з котону та деніму. Розмір 55-59 см, регулюється позаду. Кольори: денім — чорний, блакитний, синій; котон — чорний, білий, червоний, малиновий, бежевий, мокко, бірюзовий, лео.",,,taxable,1,,"890",,"Головні убори > Панами","/Users/ihnatovvladgmail.com/Downloads/IMG_9851.JPG, /Users/ihnatovvladgmail.com/Downloads/IMG_9852.JPG, /Users/ihnatovvladgmail.com/Downloads/IMG_9853.JPG, /Users/ihnatovvladgmail.com/Downloads/IMG_9854.JPG, /Users/ihnatovvladgmail.com/Downloads/IMG_9855.JPG, /Users/ihnatovvladgmail.com/Downloads/IMG_9856.JPG, /Users/ihnatovvladgmail.com/Downloads/IMG_9857.JPG, /Users/ihnatovvladgmail.com/Downloads/IMG_9861.JPG, /Users/ihnatovvladgmail.com/Downloads/IMG_9862.JPG, /Users/ihnatovvladgmail.com/Downloads/IMG_9865.JPG, /Users/ihnatovvladgmail.com/Downloads/IMG_9866.JPG, /Users/ihnatovvladgmail.com/Downloads/IMG_9867.JPG, /Users/ihnatovvladgmail.com/Downloads/IMG_9868.JPG",Колір,"чорний денім, блакитний денім, синій денім, чорний котон, білий, червоний, малиновий, бежевий, мокко, бірюзовий, лео",1,1,Розмір,"55-59 см",1,1
